zona;marca;descripcion;calibre;fleje;precio;descuento;promo_nominal
Nunez;Brahma;Cerveza Brahma Chopp Lata 354 ml;354 ml;1769;1503.65;15;15%
Nunez;cerveza imperial;Cerveza Imperial Golden 300 ml;330 ml;3729;3729;0;
Nunez;Miller;Cerveza Miller Genuine Draft 710 ml;710 ml;5539;5539;0;
Nunez;Budweiser;Cerveza Budweiser Lata 473 ml;473 ml;3060;2295;25;25%
Nunez;Amstel;Cerveza Amstel Lager 710 ml;710 ml;4200;4200;0;
Nunez;Amstel;Cerveza Amstel Lager 473 ml;473 ml;2889;2889;0;
Nunez;Rabieta;Cerveza Rabieta Helles Munich 473 ml;473 ml;3959;1979.5;50;50%
Nunez;Rabieta;Cerveza Rabieta American Ipa 473 ml;473 ml;4439;3107.3;30;30%
Nunez;Rabieta;Cerveza Rabieta Golden 473 ml;473 ml;4135;2481;40;40%
Nunez;Rabieta;Cerveza Rabieta Red Honey 473 ml;473 ml;3959;2771.3;30;30%
Nunez;Bierhaus;Cerveza Bierhaus Honey Lazybee 473 ml;473 ml;3360;2688;20;20%
Nunez;Bierhaus;Cerveza Bierhaus Chala Ipa 473 ml;473 ml;5109;4087.2;20;20%
Nunez;Bierhaus;Cerveza Bierhaus Ipa Superstar Lata 473 ml;473 ml;4299;3439.2;20;20%
Nunez;Bierhaus;Cerveza Bierhaus Chala Lager 473 ml;473 ml;4210;3368;20;20%
Nunez;Bierhaus;Cerveza Argentipa Bierhaus 473 ml;473 ml;4210;3368;20;20%
Nunez;Bierhaus;Cerveza Bierhaus Scotch Momentum 473 ml;473 ml;3295;2636;20;20%
Nunez;Bierhaus;Cerveza Bierhaus Golden State Lager 473 ml;473 ml;3295;2636;20;20%
Nunez;Bierhaus;Cerveza Bierhaus Red IPA Timeless Lata 473 ml;473 ml;4299;4299;0;
Nunez;Bierhaus;Cerveza Bierhaus Apa Boss Town 473 ml;473 ml;4210;4210;0;
Nunez;Guiness;Cerveza Guinness Extra Stout 473 ml;473 ml;4399;3299.25;25;25%
Nunez;Estrella Galicia;Cerveza Estrella Galicia Sin Gluten 330 ml;330 ml;3395;2546.25;25;1 ud. al 50% dto
Nunez;Blue Moon;Cerveza Blanca Blue Moon 473 ml;473 ml;5015;5015;0;
Nunez;Blue Moon;Cerveza Bluemoon Belgian White 355 ml;355 ml;5575;3623.75;35;35%
Nunez;Peroni;Cerveza Peroni Botella 330 mL;330 ml;5609;5609;0;
Nunez;Antares;Cerveza Antares Scotch 473 ml;473 ml;4509;3156.3;30;30%
Nunez;Starberg;Cerveza Starberg Lager 500 ml;500 ml;2559;2559;0;
Nunez;Estrella De Galicia;Cerveza Estrella De Galicia 0.0 Lata 330 ml;330 ml;3395;2546.25;25;1 ud. al 50% dto
Nunez;Warsteiner;Cerveza Warsteiner 473 ml;473 ml;3729;2610.3;30;30%
Nunez;Asahi;Cerveza Asahi Super Dry 330 ml;330 ml;5609;5609;0;
Nunez;Salta;Cerveza Salta Cautiva Fresh Lager 473 ml;473 ml;3325;2660;20;20%
Nunez;8.6;Cerveza 8.6 Original 500 ml;500 ml;6529;6529;0;
Nunez;La Trappe;Cerveza Artesanal La Trappe Blond 330 ml;330 ml;8490;8490;0;
Nunez;La Trappe;Cerveza Artesanal La Trappe Dubbel 330 ml;330 ml;8990;8990;0;
Nunez;Stella Artois;Cerveza Stella Artois Sin Alcohol 473 ml;473 ml;3639;2547.3;30;30%
Nunez;Corona;Cerveza Sin Alcohol Corona En Lata 473 ml;473 ml;3855;2698.5;30;30%
